ecg,class
371,8
401,6
386,10
380,1
360,7
321,14
377,1
376,1
354,1
383,10
401,3
373,1
382,10
355,6
399,1
350,1
347,10
353,1
392,1
399,1
383,1
336,1
364,1
406,1
388,1
382,16
373,14
407,10
420,2
400,2
408,6
339,1
353,1
368,1
357,4
357,1
366,1
385,10
354,1
401,6
383,1
350,1
346,1
383,1
367,1
350,4
322,5
369,1
429,6
379,1
386,1
359,1
356,10
370,16
369,16
392,6
376,1
364,1
372,6
386,1
287,5
324,5
373,1
374,1
382,1
363,1
410,2
350,1
408,6
380,1
384,6
356,16
361,1
418,1
383,1
371,10
431,3
377,2
388,1
331,1
330,1
349,1
361,2
359,4
381,6
431,9
373,2
383,4
419,9
393,9
420,1
342,4
371,1
328,5
338,10
406,1
364,10
397,1
450,1
241,1
377,4
387,1
343,1
414,1
371,6
370,4
415,6
368,1
353,2
360,1
366,1
369,1
364,1
335,1
390,6
418,1
411,16
340,1
353,1
382,1
380,1
339,1
386,1
325,1
339,1
378,1
372,1
340,10
386,1
393,1
347,1
418,1
350,1
380,1
362,10
352,1
398,1
357,10
364,1
355,1
337,1
237,5
383,1
362,1
339,10
387,10
379,10
369,1
375,1
323,10
385,1
347,1
357,1
396,6
413,16
370,1
357,1
383,2
393,1
383,1
378,1
337,1
414,1
336,1
347,1
377,1
356,1
342,1
347,5
331,4
380,1
358,1
377,1
378,10
380,15
409,6
351,1
345,1
394,1
266,2
415,1
364,16
439,1
304,4
347,2
340,4
367,2
426,2
406,14
421,9
349,1
354,1
392,2
347,2
394,1
332,1
377,1
413,16
356,16
390,1
396,2
376,1
310,1
367,1
349,3
391,1
355,1
438,9
374,1
368,10
349,10
321,1
410,2
339,2
329,4
360,1
465,2
364,15
321,3
359,16
342,1
356,1
372,6
358,1
376,10
351,3
379,1
356,16
363,1
377,1
330,1
358,4
370,1
400,1
412,1
350,2
335,1
389,2
352,1
356,1
353,1
297,1
407,1
322,15
353,1
369,2
368,1
313,1
330,4
326,1
362,10
376,4
346,3
388,3
329,1
364,1
308,2
373,3
331,5
348,2
348,1
324,16
389,1
337,1
354,1
334,1
358,10
362,1
357,1
383,1
368,1
397,1
380,6
423,1
361,1
375,2
371,1
362,2
360,10
370,1
402,1
350,1
364,1
399,6
372,10
373,3
381,1
386,1
382,1
370,1
387,1
381,10
355,1
390,10
350,2
371,2
363,2
377,10
359,10
382,1
329,15
393,1
444,6
357,3
434,2
340,1
322,16
363,6
294,2
362,7
341,1
404,1
440,10
329,10
352,1
359,1
232,5
355,1
346,1
350,10
240,5
404,1
396,2
359,2
357,10
381,1
355,10
374,7
375,1
344,2
388,1
388,1
358,16
354,1
383,10
379,1
384,10
333,1
357,1
349,1
328,16
380,10
354,1
386,6
364,10
387,1
378,10
359,1
302,5
368,1
374,1
359,2
359,1
363,10
327,16
333,1
336,3
333,2
426,6
290,2
452,2
382,3
362,16
429,10
401,6
371,1
336,2
359,2
405,2
373,1
448,9
369,1
325,2
381,1
340,5
397,2
365,8
339,1
386,1
303,10
386,16
293,3
330,1
369,1
367,6
357,1
382,16
301,5
458,9
258,1
379,1
407,1
357,1
329,1
377,1
509,9
336,1
426,10
341,3
369,1
387,10
347,14
418,1
284,5
381,1
363,1
388,1
376,1
431,1
368,16
376,4
396,2
368,16
338,1
348,1
362,1
343,1
339,10
362,1
374,1
284,15
439,1
359,1
367,1
438,9
362,1
340,1
417,10
364,1
358,16
361,10
381,6
362,10
290,3
360,1
367,1
340,1
391,1
357,1
383,1
389,1
374,1
363,1
384,10
325,1
376,1
363,1
382,1
361,10
365,2
386,1
364,1
371,8
401,6
386,10
380,1
360,7
321,14
377,1
376,1
354,1
383,10
401,3
373,1
382,10
355,6
399,1
350,1
347,10
353,1
392,1
399,1
383,1
336,1
364,1
406,1
388,1
382,16
373,14
407,10
420,2
400,2
408,6
339,1
353,1
368,1
357,4
357,1
366,1
385,10
354,1
401,6
383,1
350,1
346,1
383,1
367,1
350,4
322,5
369,1
429,6
379,1
386,1
359,1
356,10
370,16
369,16
392,6
376,1
364,1
372,6
386,1
287,5
324,5
373,1
374,1
382,1
363,1
410,2
350,1
408,6
380,1
384,6
356,16
361,1
418,1
383,1
371,10
431,3
377,2
388,1
331,1
330,1
349,1
361,2
359,4
381,6
431,9
373,2
383,4
419,9
393,9
420,1
342,4
371,1
328,5
338,10
406,1
364,10
397,1
450,1
241,1
377,4
387,1
343,1
414,1
371,6
370,4
415,6
368,1
353,2
360,1
